procedure_name,speciality_classification,cost_inr
Laparoscopy Therapeutic/ Exploratory,Cancer Surgery,25316.95388888889
Laparotomy For Staging,Cancer Surgery,25290.352
Laparotomy abdominal sacro-colpopexy,Obstetrics And Gynaecology Procedure,50461.2465
Laparotomy for Ectopic Pregnancy,Obstetrics And Gynaecology Procedure,33434.504
Laparotomy peritonitis Lavage and Drainage,Obstetrics And Gynaecology Procedure,33145.84684210526
Laparotomy recanalization of Fallopian tubes-(Tuboplasty),Obstetrics And Gynaecology Procedure,50949.7865
Laryngectomy,ENT Procedure,49918.603
Laryngectomy Near total,Cancer Surgery,31488.27947368421
Laryngectomy-Partial,Cancer Surgery,31803.2955
Laryngectomy-Total.,Cancer Surgery,31232.85
Laryngofissure,ENT Procedure,40813.9015
Laryngopharyngectomy Total with Gast.pullup.,Cancer Surgery,44309.69421052632
Laryngoscopy Direct.,Cancer Surgery,6867.8485
Laser Ablation of Varicose Veins,Cardiovascular And Cardiac Surgery Procedure,41728.36052631579
Laser Aretynoidectomy.,Cancer Surgery,25153.14736842105
Laser Fulguration for rccurrent lesions.,Cancer Surgery,6919.363
Laser Subglottic Tracheal Stenosis,Cancer Surgery,25225.035
Laser Trabeculoplasty Gonioplasty - Both Eyes,Ophthalmology Procedure,15942.301578947368
Laser exciston-Supraglottic.,Cancer Surgery,25041.70315789473
Laser fulguration Respiratory Papilloma,Cancer Surgery,24940.6505
Laser fulguration/Excision Trachea.,Cancer Surgery,31428.835789473684
Lateral Rhinotomy,ENT Procedure,19093.6545
Lateral mass C1-C2 screw fixation,Neuro-Surgery Procedure,72113.016
Lees- charting or Hess- charting- Both Eyes,Ophthalmology Investigation,298.60315789473685
Left Hemicolectomy,Abdomen/GI Surgery Procedure,33264.6265
Leptospira Ig M,Laboratory Investigation,994.815
"Lesioning procedures for Parkinson-s disease,Dystonia etc.",Neuro-Surgery Procedure,50448.82888888889
Level 1- Brachytherapy (Eye Plaque or SIVA or CVS per insertion or application),Radiotherapy,7039.207
Level 1- Radiation Therapy (1-10 fractions on Cobalt),Radiotherapy,14941.625
"Level 2- Brachytherapy (Simple ICA with Xray based 2D planning, ILRT, Endobilliary BCT)",Radiotherapy,10052.300555555556
Level 2- Radiation Therapy(More than 10 fractions on Cobalt OR Upto 10 fractions on LA clinical (without CT or TPS planning) without IGRT OR Hemibody palliative RT (1-2 fractions weekly)),Radiotherapy,27961.2535
"Level 3- Brachytherapy(Surface Mould, Radical Interstitial BCT, Intraoperative Template or interstitial brachytherapy catheter insertion)",Radiotherapy,25171.0475
Level 3- Radiation Therapy (LA 3D with conventional fractionation of 2-5 Gy OR Weekly hypofractionation of >5 Gy with 3D CRT plan in 1-2 fractions. No IGRT allowed.),Radiotherapy,50577.6275
Level 4- Brachytherapy (ICA with CT based Planning),Radiotherapy,30158.070526315787
Level 4- Radiation therapy (LA 3D with IGRT conventional fractionation of 2- 5 Gy OR Weekly hypofractionation >5 Gy with 3D CRT plan in 1-2 fractions. with IGRT),Radiotherapy,62840.43111111111
Level 5- Brachytherapy (Complex ICA with interstitial with CT or MR based planning),Radiotherapy,40790.041000000005
Level 5- Radiation Therapy (LA IMRT/ Rapid Arc/VMAT with < 5Gy per fraction and <10 IGRT (CBCT or MVCT or EPID) OR Cobalt Radical with LA boost including electron boost OR TSET OR TBI),Radiotherapy,150492.43600000002
Level 6- Radiation Therapy (LA 4D/DE or DIBH with 3D CRT/ IMRT/ Rapid Arc/VMAT with >10 IGRT (CBCT or MVCT or EPID) OR LA IMRT/ Rapid Arc/VMAT with <5Gy per fraction and >10 IGRT (CBCT or MVCT or EPID) OR Adaptive RT OR CSI OR Multisite treatment outside one FOV or one plan OR SBRT OR SRS OR SRT (per fraction dose >5Gy)),Radiotherapy,179651.008
Lid Abscess incision and Drainage per eye,Ophthalmology Procedure,4982.206
Lid retraction repair per eye,Ophthalmology Procedure,8354.073333333334
Limited Orthodontic Treatment of the Primary Dentition,Dental Procedure,5100.813
"Lineage specific Chimerism - B Cell, T Cell and NK Cells",Oncology Investigations,7221.088000000001
Lintas Machles Tube Tempode,Gastroenterology / Endoscopic Procedures,5991.7255
Lipi View Both Eyes,Ophthalmology Investigation,1478.876
Lipi View One Eye,Ophthalmology Investigation,904.8765
"Lipid Profile (Total cholesterol ,Triglycerides, LDL, HDL,VLDL)",Laboratory Investigation,494.7435
Lipoprotein A / Lp A,Laboratory Investigation,402.692
Liquid Biopsy (Onco),Oncology Investigations,30048.497000000003
Lithium,Laboratory Investigation,347.9168421052632
Liver Biopsy,Biopsies,8512.57
Liver Function Test (LFT),Laboratory Investigation,501.84333333333336
Lobectomy/Bi-lobectomy (Pulmonary),Cancer Surgery,31091.671
Local Flap Reconstruction (Extremity),Cancer Surgery,25260.23421052632
Loop Colostomy Transverse Sigmoid,Abdomen/GI Surgery Procedure,40706.344
Low Density Lipoprotein (LDL),Laboratory Investigation,148.5088888888889
Lower GI Endoscopy(Colonoscopy/Sigmoidoscopy) with or without Biopsy,Gastroenterology / Endoscopic Procedures,5983.4915
Lumbar Discectomy,Neuro-Surgery Procedure,59651.64578947369
Lumbar Pressure Monitoring,Neuro-Surgery Investigation,9137.1265
Lumbar Puncture,Neuro-Surgery Procedure,2963.2275
Lumbar Traction (per session),Physiotherapy,296.5825
Lumbar disc arthroplasty,Neuro-Surgery Procedure,50339.884
Lung Basic Panel By NGS,Oncology Investigations,29771.125
Lung Perfusion Scan,Pulmonology Investigation,5023.388947368421
Lung Ventilation & Perfusion Scan (V/Q Scan),Pulmonology Investigation,5960.144736842105
Lung Wedge Resection,Cancer Surgery,25036.14789473684
Luteinizing hormone (LH),Laboratory Investigation,395.5355
Lymph Node Biopsy Superficial,Cancer Surgery,6987.993684210526
Lymphadenectomy,Cancer Surgery,57469.97578947368
Lymphangiography,Cardiology Investigation,5054.4855
Lymphocoele Drainage,Cancer Surgery,24851.201176470586
Lymphoma Panel,Oncology Investigations,6942.36052631579
Lymphoplasmacytic Leukemia / Waldenstroms Macroglobulinemia Mutation (MYD88 L265P) Detection,Oncology Investigations,3467.728
MDS Panel,Oncology Investigations,6929.6825
MECOM (EVI1) rearrangement: inv(3)(q21.3q26.2)/t(3;3),Oncology Investigations,4695.291052631579
MGMT PCR,Oncology Investigations,8136.5545
MLPA per gene,Oncology Investigations,4014.2968421052633
MPN (Myelo Proliferative Neoplasm)PANEL,Oncology Investigations,11919.057894736845
MR Enteroclysis,Radiological Investigation,4963.1885
MR Temporal Bone/ Inner ear with contrast,Radiological Investigation,5027.505789473685
MR cholecysto-pancreatography (MRCP),Radiological Investigation,8429.667368421053
MR for Salivary Glands with Sialography/Maxillofacial MRI,Radiological Investigation,4956.0275
MRI Abdomen - With Contrast,Radiological Investigation,5761.65
MRI Abdomen - Without Contrast,Radiological Investigation,3506.542105263158
MRI Angiography - with contrast,Radiological Investigation,5729.4215
MRI Ankle Single joint - Without contrast,Radiological Investigation,3528.814210526316
MRI Ankle both joints - With contrast,Radiological Investigation,6466.8205
MRI Ankle both joints - Without contrast,Radiological Investigation,3516.745789473684
MRI Ankle single joint - With contrast,Radiological Investigation,4965.463157894737
MRI Breast - With Contrast,Radiological Investigation,4969.759
MRI Breast - Without Contrast,Radiological Investigation,3489.2580000000003
MRI Cardiac,Radiological Investigation,8016.255999999999
MRI Cervical/ Cervico Dorsal Spine - With Contrast,Radiological Investigation,5012.157499999999
MRI Chest - With Contrast,Radiological Investigation,5035.491052631579
MRI Chest - Without Contrast,Radiological Investigation,3543.465
MRI DEFECOGRAPHY,Radiological Investigation,6989.094999999999
MRI Dorsal/ Dorso Lumbar Spine - With Contrast,Radiological Investigation,4993.5165
MRI Dorsal/ Dorso Lumbar Spine/Cervical/ Cervico Dorsal Spine - Without Contrast,Radiological Investigation,3515.487
MRI Extremities - With contrast,Radiological Investigation,5785.375
MRI Extremities - Without contrast,Radiological Investigation,3484.964
MRI FISTULOGRAM,Radiological Investigation,4506.917
MRI Head / Brain - Without Contrast,Radiological Investigation,2768.6315
MRI Head / Brain- With Contrast,Radiological Investigation,5025.832
MRI Hip - With contrast,Radiological Investigation,4995.267
MRI Hip - without contrast,Radiological Investigation,3501.6925
MRI Lumbar/ Lumbo-Sacral Spine - With Contrast,Radiological Investigation,5771.584000000001
MRI Lumbar/ Lumbo-Sacral Spine - Without Contrast,Radiological Investigation,3450.32
MRI Mammography,Radiological Investigation,4985.416315789474
MRI Nasopharynx and PNS - With Contrast,Radiological Investigation,4981.806
MRI Nasopharynx and PNS - Without Contrast,Radiological Investigation,3513.7699999999995
MRI Neck - Without Contrast,Radiological Investigation,3525.2650000000003
MRI Neck- with contrast,Radiological Investigation,5745.097368421053
MRI Orbits - With Contrast,Radiological Investigation,5007.7725
MRI Orbits - Without Contrast,Radiological Investigation,1851.4865
MRI Pelvis - Without Contrast,Radiological Investigation,3505.792105263158
MRI Pelvis - with contrast,Radiological Investigation,5738.826
MRI SPECTROSCOPY,Radiological Investigation,3013.9335
MRI Shoulder - With contrast,Radiological Investigation,4977.382105263157
MRI Shoulder - Without contrast,Radiological Investigation,3498.0550000000003
MRI Shoulder both joints - With contrast,Radiological Investigation,6051.503500000001
MRI Temporal Bone/ Inner ear without contrast,Radiological Investigation,3523.949
MRI Temporomandibular - B/L - With contrast / MRI TMJ (Double Joint) with contrast,Radiological Investigation,5040.38947368421
MRI Temporomandibular - B/L - Without contrast / MRI -TMJ(Double Joint) without contrast,Radiological Investigation,3497.341578947369
MRI Whole spine - Without Contrast,Radiological Investigation,4388.4285
MRI Wrist Both joints - With contrast,Radiological Investigation,5688.0625
MRI Wrist Single joint - With contrast,Radiological Investigation,5012.351052631579
MRI Wrist Single joint - Without contrast,Radiological Investigation,3269.5305
MRI Wrist both joints - Without contrast,Radiological Investigation,3959.0942105263152
MRI knee Single joint - With contrast,Radiological Investigation,5774.115789473684
MRI knee Single joint - Without contrast,Radiological Investigation,2976.4705000000004
MRI knee both joints - With contrast,Radiological Investigation,5722.3105000000005
MRI knee both joints - Without contrast,Radiological Investigation,4011.367
MRI shoulder both Joints - Without contrast,Radiological Investigation,4028.2094736842105
MRI whole Spine Screening- Without Contrast,Radiological Investigation,1995.710526315789
MRI-Prostate (Multi-parametric) (Including CD),Radiological Investigation,6942.606666666667
MSI ( Micro Satellite Instability) and MMR (Mis Match Repair),Oncology Investigations,6479.99052631579
MYD88 L265 Mutation Detection Test,Oncology Investigations,6802.672500000001
Macular hole surgery- Vitrectomy +membrane peeling + ILM peeling+ fluid air exchange+endolaser+ gas/silicon oil tamponade per eye,Ophthalmology Procedure,39244.308000000005
Malar and/or Zygomatic arch - Closed Reduction,Dental Procedure,6050.587368421053
Malar and/or Zygomatic arch - Open Reduction,Dental Procedure,10037.2105
Malrotation & Volvulus of the Midgut,Paediatric Surgery Procedure,40789.07684210526
Malrotation of Intestines Operation,Paediatric Surgery Procedure,41106.814
Malyugin Ring /pupil dilator/iris expander per eye,Ophthalmology Procedure,9954.767368421051
Manchester/Fothergill-s operation,Obstetrics And Gynaecology Procedure,33091.0245
Mandible - Closed Reduction,Dental Procedure,5975.219999999999
Mandible - Open Reduction,Dental Procedure,10044.624736842105
Mandible Curettage.,Cancer Surgery,15888.0925
"Mandibulectomy- Hemi.,/Marginal/Segmental including",Cancer Surgery,31459.241
Mantoux Test,Laboratory Investigation,198.8555
Manual Removal of Placenta,Obstetrics And Gynaecology Procedure,8687.078
Mastoidectomy,ENT Procedure,33178.10842105263
Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis),ENT Procedure,33207.4525
Maxila Curettage.,Cancer Surgery,15774.016842105264
Maxilla - Closed Reduction,Dental Procedure,5953.878947368421
Maxilla - Open Reduction,Dental Procedure,10011.472105263158
Maxillectomy- partial with graft,Dental Procedure,23639.303
Maxillectomy- partial without graft,Dental Procedure,18876.09210526316
Maxillectomy-Median/Partial/Total/Total with exenteration.,Cancer Surgery,31753.18631578948
Maxillectomy/Mandibulectomy- Total with graft,Dental Procedure,33223.64842105263
Maxillectomy/Mandibulectomy- Total without graft,Dental Procedure,28593.021
Maxillofacial Prosthesis -Sal/auricular/orbital/Nasal/Palatal/facial lost/ Speech Aid,Dental Procedure,6989.477000000001
Meatoplasty,Cancer Surgery,15584.6745
Meatoplasty,Nephrology And Urology Procedure,12717.968
Meatotomy,Nephrology And Urology Procedure,8029.8245
Mechanical lithotripsy of CBD stones by ERCP,Gastroenterology / Endoscopic Procedures,33431.575263157894
Mechanical lithotripsy of pancreatic stones,Gastroenterology / Endoscopic Procedures,32824.3045
Meckel's Scan,Gastro and Hepatobiliary/Nuclear Medicine Investigation,3000.9385
Meconium Ileus Operation,Paediatric Surgery Procedure,41550.148
Median Nerve Decompression,Neuro-Surgery Procedure,41101.371
Mediastinal Lymph Node Dissection,Cancer Surgery,25458.997894736844
Mediastinal Tumor Excision,Cancer Surgery,44208.990000000005
Mediastinoscopy,Cancer Surgery,25432.45894736842
Mediatsinal Neuroblastoma Excision,Cancer Surgery,56621.96736842105
Medical Termination of Pregnancy (MTP) - 2nd Trimester /Suction and Evacuation/Dilatation and Curettage/Dilatation and expulsion,Obstetrics And Gynaecology Procedure,18869.161
Medical Termination of Pregnancy (MTP)- 1st Trimester with Medicine /Manual Vacuum Aspiration /Check Curettage,Obstetrics And Gynaecology Procedure,13341.8345
Medication -intracanal medicament (only lesion cases),Dental Procedure,499.5536842105264
Membranectomy both eyes,Ophthalmology Procedure,15042.819
Membranectomy one eye,Ophthalmology Procedure,12020.2785
Meningoencephalocele excision and repair,Neuro-Surgery Procedure,72041.864
Meningomyelocele Repair,Neuro-Surgery Procedure,59656.942
Meniscectomy,Orthopaedics Procedure,50557.0215
Meniscus Repair,Orthopaedics Procedure,59961.101
Mesenteric Cyst- Excision,Abdomen/GI Surgery Procedure,33338.3805
Mesentericocaval Anastomosis,Abdomen/GI Surgery Procedure,40803.295263157896
Metastatectomy (Both Lungs),Cancer Surgery,31099.0235
Metastatectomy (Single Lung),Cancer Surgery,25444.028
Methylprednisolone Injection IV Infusion per day Excluding the cost of the drug,Ophthalmology Procedure,2496.0222222222224
Micro laryngoscopy Chord stripping (Laser)/Laser,Cancer Surgery,25117.845
Micro vascular Breast Reconstruction,Cancer Surgery,57112.76899999999
Micro-surgical Vasovasostomy /Vaso epididymal anastomosis .,Nephrology And Urology Procedure,26145.389000000003
Microdochectomy,Cancer Surgery,15791.2155
Microincisional trabeculectomy(MIT) per eye,Ophthalmology Procedure,23629.3
Microlaryngeal Surgery,ENT Procedure,25880.1385
Microsurgical decompression for Trigeminal nerve,Neuro-Surgery Procedure,60010.23684210526
Microsurgical decompression for hemifacial spasm,Neuro-Surgery Procedure,59315.73421052632
Microvascular Reconstruction (Extremity),Cancer Surgery,31567.19842105263
Micturating Cystourethrography (MCU),Radiological Investigation,1119.696
Minerva Jacket,Orthopaedics Procedure,9164.8765
Mini Fixator for Hand/Foot,Orthopaedics Procedure,33353.425
Minor Treatment to Control Habits-Fixed Appliance Therapy,Dental Procedure,4034.042
Minor Treatment to Control Habits-Removable Appliance Therapy,Dental Procedure,2483.082
"Minor oral surgery, cyst, granuloma, residual infection, mucocele, epulis under LA",Dental Procedure,2002.735
Miscellaneous Profile I(1 marker),Oncology Investigations,3459.5125
Miscellaneous profile II(2 markers),Oncology Investigations,5477.7795
Mitral valve (MV) Repair + Aortic valve (AV) Repair / Tricuspid Valve (TV) Repair + Pulmonary valve (PV) repair,Cardiovascular And Cardiac Surgery Procedure,170864.33789473685
Mitral valve Replacement(MVR)/ Aortic valve Replacement (AVR)/ Tricuspid Valve Replacement (TVR) / Pulmonary valve replacement (PVR),Cardiovascular And Cardiac Surgery Procedure,171675.9425
Monosomy 5/deletion 5q,Oncology Investigations,3470.5726315789475
Monosomy 7/deletion 7q,Oncology Investigations,3483.0621052631577
More than 2 Intermediate Procedures,Cancer Surgery,25321.642
Mucous membrane grafting MMG one eyelid,Ophthalmology Procedure,19178.27157894737
Mucous membrane grafting MMG two eyelids,Ophthalmology Procedure,24004.38
Multi Organ Excision,Cancer Surgery,44327.621
Multigene NGS Germline Panel,Oncology Investigations,17928.579
"Multiple Extraction and Treatment Procedures for Special Children, Patients with Systemic Diseases, Patient with Special Needs Which Requires Admission and Treatment Under GA",Dental Procedure,5988.8115
Multiple Myeloma (MM) Panel,Oncology Investigations,14938.722105263156
Multiple Myeloma High Risk Markers (4 Markers),Oncology Investigations,5356.313
Multiple Myeloma Screening Panel,Oncology Investigations,7939.178421052632
Multiple Pinning Fracture Neck Femur,Orthopaedics Procedure,50714.12052631579
Multiple drugs Chemotherapy/Targeted therapy/Immunotherapy,Chemotherapy,2315.292105263158
Multiple hearing assessment test to Adults,ENT Investigation,400.9585
Muscle Biopsy,Biopsies,2484.8875
Muscle Group Excision,Cancer Surgery,25544.83052631579
Muscular Stenting,Gastroenterology / Endoscopic Procedures,50107.81263157894
Mycobacterial culture and sensitivity,Laboratory Investigation,554.948947368421
Myelin basic protein (MBP),Laboratory Investigation,3497.7075000000004
Myelodysplastic Syndromes karyotyping,Oncology Investigations,5522.0345
Myelography,Radiological Investigation,2481.6305
Myocutaneous and Fasciocutaneous Flap Procedures for Limbs,Orthopaedics Procedure,50395.3465
Myomectomy -laparoscopic,Obstetrics And Gynaecology Procedure,40632.455
Myomectomy -laparotomy,Obstetrics And Gynaecology Procedure,33247.507
Myositis Profile (Up to 16 Antigens),Laboratory Investigation,8036.9065
Myringoplasty,ENT Procedure,25979.527777777777
Myringotomy with Grommet Insertion,ENT Procedure,13439.60210526316
N-terminal pro BNP (NT-pro BNP / Brain natriuretic peptide (BNP),Laboratory Investigation,2091.4994736842104
NGS HLA Typing,Oncology Investigations,9996.1585
NGS Platform-extended Panel >50 gene,Oncology Investigations,36403.815
NGS Platform-limited Panel(10 Genes),Oncology Investigations,17902.43
NRAS (Neuroblastoma RAS ) Gene,Oncology Investigations,3515.815
Nasal Packing-Posterior,ENT Procedure,3010.5950000000003
Nasal Packing-anterior,ENT Procedure,2506.0675
Nebulization Per Session,Critical Care,50.04210526315789
Neck Biopsy-excisional.,Cancer Surgery,6897.521578947369
Neck Dissection-Bilateral.,Cancer Surgery,31561.6115
Neck Dissection-Functional/Modified/ supra omohyoid,Cancer Surgery,25082.92
Neck Exploration.,Cancer Surgery,15704.236
Neoadjuvant Chemotherapy,Chemotherapy,2697.7075
Neobladder,Cancer Surgery,43628.66842105263
Neonatal ICU charges (Per day) inclusive of incubator,Critical Care,5377.0725
Neostigmine test - Both Eyes,Ophthalmology Investigation,5060.292
Nephrectomy Partial,Cancer Surgery,56774.6755
Nephrectomy Radical,Cancer Surgery,44436.144
Nephrectomy Radical + IVC Thrombectomy,Cancer Surgery,43837.3665
Nephrectomy Simple -Open,Nephrology And Urology Procedure,60266.31111111112
Nephrectomy for - Hydronephrosis,Paediatric Surgery Procedure,40710.80578947368
Nephrectomy for -Pyonephrosis,Paediatric Surgery Procedure,40053.1965
Nephrolithotomy -Laparoscopic/endoscopic,Nephrology And Urology Procedure,49660.2495
Nephrolithotomy -open,Nephrology And Urology Procedure,41331.7185
Nephrostomy -Lap/Endoscopic,Nephrology And Urology Procedure,33150.759999999995
Nephrostomy -Open,Nephrology And Urology Procedure,33189.35421052631
Nephroureterectomy,Cancer Surgery,43642.740000000005
Nephroureterectomy open,Nephrology And Urology Procedure,50553.261
Nerve Biopsy,Neuro-Surgery Biopsy,18960.2775
Nerve Repair with Grafting,Orthopaedics Procedure,59717.786
"Nerve conduction velocity (NCV), -two or more limbs",Neurology Investigation,1503.23
Neuro Rehabilitation Advanced (per session),Physiotherapy,800.4157894736842
Neurolysis/Nerve repair,Orthopaedics Procedure,40985.0055
Next Generation sequencing assay for Minimal residual disease(MRD) for NPM mutated AML,Oncology Investigations,27154.390000000003
Next generation RNA sequencing assay for Chimeric Trancript in Hematolymphod malignancies,Oncology Investigations,16991.667500000003
Night Guard,Dental Procedure,1997.555625
Node Biopsy,Cancer Surgery,6891.9295
Non Contact tonometry (NCT) - Both Eyes,Ophthalmology Investigation,149.525
Non Stress Test,Obstetrics Investigation,1487.4615
Non invasive Ventilator charges (Per day)( inclusive of associated disposables),Critical Care,598.2149999999999
Non-descent Vaginal Hysterectomy (NDVH) with or without BSO,Obstetrics And Gynaecology Procedure,41117.08157894737
Nonresectable Esophageal Ca Exploration,Cancer Surgery,15952.5415
"Normal Delivery of High Risk Pregnancy(Preeclampsia/Eclampsia/GDM/Cardiac/Vascular/Renal/Pulmonary/Twin Pregnancy/RA/SLE/IVF Conception/Severe Anaemia,)",Obstetrics And Gynaecology Procedure,40738.923
Normal delivery with or without Episiotomy & P.repair/ forceps delivery /Vacuum delivery/assisted breech delivery including Routine New Born Care,Obstetrics And Gynaecology Procedure,33365.555
OAE (Otoacoustic Emission Test),ENT Investigation,1261.891
OCT (Optical Coherence Tomography) /Ocular OCT Angiography - Both Eyes,Ophthalmology Investigation,2088.1335
Obturator Prosthesis - Surgical/Definitive/Modification,Dental Procedure,4945.051578947368
Occlusion Analysis/Adjustment/Occlusal Equilibration,Dental Procedure,500.9505
Occupational Therapy per session of at least 40 minutes,Behavioural therapy,399.556
Odontoplasty /Enameloplasty,Dental Procedure,502.2978947368421
Oesophageal Intubation (Mousseau Barbin Tube),Abdomen/GI Surgery Procedure,26069.965789473685
Oesophageal Manometry,Gastroenterology / Endoscopic Procedures,9189.143
Oesophageal Stricture dilatation,Gastroenterology / Endoscopic Procedures,9206.642631578949
Oesophageal pH metry,Gastroenterology / Endoscopic Procedures,8709.8785
Oesophageal stenting excluding the cost of stent,Gastroenterology / Endoscopic Procedures,13395.1555
Oesophagoscopy with foreign body removal from Oesophagus,ENT Procedure,13348.9325
Of Internal Stenting,Cancer Surgery,15652.627
Oligoclonal bands (OCBs),Laboratory Investigation,2249.976
Omphalocele 1st Stage (Hernia Repair),Paediatric Surgery Procedure,32926.00894736842
Omphalocele 2nd Stage (Hernia Repair),Paediatric Surgery Procedure,33457.428947368426
Omphalomesenteric Cyst Excision,Paediatric Surgery Procedure,40948.8915
Omphalomesenteric Duct- Excision,Paediatric Surgery Procedure,40495.06526315789
One Sided (single Lumen) Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure,4001.4373684210527
Open Biopsy Of Vertebra,Cancer Surgery,24905.68
Open Drainage of Perinephric Abscess,Nephrology And Urology Procedure,33407.57111111112
Open Reduction & Internal Fixation (ORIF) of Fingers & Toes,Orthopaedics Procedure,19123.33
Open Reduction & Internal Fixation (ORIF) of Fracture Dislocation,Orthopaedics Procedure,41139.966
Open Reduction of Dislocations,Orthopaedics Procedure,33156.9995
Open Reduction of Fracture Neck Femur Muscle Pedicle Graft and Internal Fixations,Orthopaedics Procedure,49703.76578947368
Open Reduction of fracture of Long Bones of Upper / Lower Limb -Nailing & External Fixation,Orthopaedics Procedure,40307.4225
Open Reduction of fracture of Long Bones of Upper /Lower Limb -AO Procedures,Orthopaedics Procedure,41190.277
Open Retropubic Prostatectomy,Nephrology And Urology Procedure,40701.0085
Open Suprapubic Prostatectomy,Nephrology And Urology Procedure,40867.813157894736
Operation for Bleeding Peptic Ulcer,Abdomen/GI Surgery Procedure,40812.592
Operation for Cervical Rib,ENT Procedure,33817.92210526316
Operation for Gastrojejunal Ulcer,Abdomen/GI Surgery Procedure,40652.15263157895
Operation for Hydatid Cyst of Liver,Abdomen/GI Surgery Procedure,28683.68
"Operation for Intestinal Obstruction including resection , anastomosis, Adhesiolysis",Abdomen/GI Surgery Procedure,50093.02055555556
"Operation for Intestinal perforation including resection, anastomosis , Adhesiolysis",Abdomen/GI Surgery Procedure,50030.288
Operation for Torsion of Testis,Nephrology And Urology Procedure,25994.178
Operation of Choledochal Cyst,Paediatric Surgery Procedure,50204.116
Operation on Adrenal Glands - Bilateral,Abdomen/GI Surgery Procedure,59749.7655
Operation on Adrenal Glands - Unilateral,Abdomen/GI Surgery Procedure,40581.459
Operations for Benign Tumours of Small Intestine,Abdomen/GI Surgery Procedure,50692.87157894737
Operations for Brachial Plexus & Cervical Rib,Orthopaedics Procedure,71993.375
Operations for Crippled Hypospadias,Nephrology And Urology Procedure,40549.551
Operations for Cyst of the Kidney -open,Nephrology And Urology Procedure,41237.2695
Operations for Cyst of the Kidney Lap/endoscopic,Nephrology And Urology Procedure,50756.2685
Operations for Epispadias -primary repair,Nephrology And Urology Procedure,40587.83736842105
Operations for Epispadias-crippled epispadias,Nephrology And Urology Procedure,50531.90894736842
Operations for Exstrophy of the Bladder- Multistage repair,Nephrology And Urology Procedure,40723.8185
Operations for Exstrophy of the Bladder- Single stage repair,Nephrology And Urology Procedure,40979.958
Operations for Exstrophy of the Bladder- simple cystectomy with urinary diversion,Nephrology And Urology Procedure,60367.133157894736
Operations for GI Bleed,Abdomen/GI Surgery Procedure,50651.97684210527
Operations for Haemorrhage of Small Intestines,Abdomen/GI Surgery Procedure,50152.876
Operations for Hydrocele - Bilateral,Nephrology And Urology Procedure,33494.0405
Operations for Hydrocele - Unilateral,Nephrology And Urology Procedure,25971.24947368421
Operations for Hydronephrosis -pyeloplasty Lap/endoscopic,Nephrology And Urology Procedure,59963.726
Operations for Hydronephrosis -pyeloplasty open,Nephrology And Urology Procedure,50290.2775
Operations for Hydronephrosis Endopyelotomy antegrade,Nephrology And Urology Procedure,41036.69157894737
Operations for Hydronephrosis Endopyelotomy retrograde,Nephrology And Urology Procedure,41078.69210526316
Operations for Hydronephrosis ureterocalicostomy,Nephrology And Urology Procedure,40926.01421052632
Operations for Hydronephrosis-Ileal ureter,Nephrology And Urology Procedure,50194.7325
Operations for Hypospadias + Chordee Correction,Nephrology And Urology Procedure,33144.188
Operations for Hypospadias - One Stage Repair,Nephrology And Urology Procedure,40996.6495
Operations for Hypospadias - Second Stage,Nephrology And Urology Procedure,40768.32684210526
Operations for Incontinence of Urine - Female -Open,Nephrology And Urology Procedure,40866.45
Operations for Incontinence of Urine - Female-Bulking agent,Nephrology And Urology Procedure,40898.16263157895
Operations for Incontinence of Urine - Female-Sling,Nephrology And Urology Procedure,50169.63736842105
Operations for Incontinence of Urine - Male -Open,Nephrology And Urology Procedure,40860.79052631579
Operations for Incontinence of Urine - Male -Sling,Nephrology And Urology Procedure,50804.38263157895
Operations for Incontinence of Urine - Male-Bulking agent,Nephrology And Urology Procedure,40696.221000000005
Operations for Injuries of the Bladder,Nephrology And Urology Procedure,41038.55842105263
Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),Abdomen/GI Surgery Procedure,50486.32842105263
Operations for Replacement of Oesophagus by Colon / Colon-Inter position or Replacement of Oesophagus,Abdomen/GI Surgery Procedure,50162.71055555556
Operations for Sigmoid Diverticulitis,Abdomen/GI Surgery Procedure,41216.2635
Operations for Ureter -for Ectopia of Single Ureter,Nephrology And Urology Procedure,41148.446
Operations for Ureter for -Double Ureters,Nephrology And Urology Procedure,50325.7605
Operations for Varicocele Bilateral --Microsurgical,Nephrology And Urology Procedure,40625.5625
Operations for Varicocele Palomo-s Bilateral - Laparoscopic,Nephrology And Urology Procedure,40959.4235
Operations for Varicocele Palomo-s Unilateral -Laparoscopic,Nephrology And Urology Procedure,33479.2095
Operations for Varicocele Unilateral Microsurgical,Nephrology And Urology Procedure,33301.3675
Operations for Vesicoureteral Reflux (VUR) -Open,Nephrology And Urology Procedure,41078.85421052631
Operations for Vesicoureteral Reflux (VUR)-Lap/Endoscopic,Nephrology And Urology Procedure,50952.8845
Operations for Vesicoureteral Reflux (VUR)/ Urinary incontinence with bulking agents,Nephrology And Urology Procedure,40535.276666666665
Operations for Volvulus of Large Bowel,Abdomen/GI Surgery Procedure,50630.716
